sgrna gene init_Sample_1 dep_Sample_1 init_Sample_2 dep_Sample_2 init_Sample_3 dep_Sample_3 init_Sample_4 dep_Sample_4 init_Sample_5 dep_Sample_5 init_Sample_6 dep_Sample_6
gene_1_1_0_g1_0 gene_1_1_0 178 115 108 89 198 136 58 162 55 56 115 147
gene_1_1_0_g2_0 gene_1_1_0 196 156 207 196 166 232 101 178 226 246 152 132
gene_1_1_0_g3_0 gene_1_1_0 0 4 0 10 3 0 96 156 0 0 0 0
gene_1_1_0_g4_0 gene_1_1_0 97 47 93 118 52 92 130 84 228 93 85 163
gene_1_2_0_g1_0 gene_1_2_0 92 77 37 172 109 107 37 103 51 68 13 19
gene_1_2_0_g2_0 gene_1_2_0 423 438 353 493 435 553 382 442 414 488 474 544
gene_1_2_0_g3_0 gene_1_2_0 100 33 134 81 55 39 101 161 156 148 4 0
gene_1_2_0_g4_0 gene_1_2_0 209 249 266 307 274 329 249 212 143 379 224 184
gene_1_3_0_g1_0 gene_1_3_0 0 15 0 0 39 167 74 0 0 0 0 0
gene_1_3_0_g2_0 gene_1_3_0 95 128 28 5 1 29 26 51 78 2 7 237
gene_1_3_0_g3_0 gene_1_3_0 213 26 238 190 124 304 158 78 22 79 109 153
gene_1_3_0_g4_0 gene_1_3_0 791 905 849 914 918 937 891 984 891 901 782 923
gene_1_4_0_g1_0 gene_1_4_0 977 1004 881 949 967 924 960 956 1004 1012 1005 940
gene_1_4_0_g2_0 gene_1_4_0 1443 1586 1418 1606 1482 1507 1577 1597 1468 1576 1539 1551
gene_1_4_0_g3_0 gene_1_4_0 25 85 30 55 118 53 1 4 35 68 83 52
gene_1_4_0_g4_0 gene_1_4_0 1238 1360 1316 1356 1275 1325 1371 1366 1270 1303 1289 1364
gene_1_5_0_g1_0 gene_1_5_0 280 330 365 318 305 300 243 259 328 441 288 303
gene_1_5_0_g2_0 gene_1_5_0 183 49 42 11 197 141 107 145 73 10 42 19
gene_1_5_0_g3_0 gene_1_5_0 51 152 0 89 38 29 87 2 0 0 0 0
gene_1_5_0_g4_0 gene_1_5_0 1 45 0 0 55 205 87 100 0 54 1 47
gene_0.5_1_0_g1_0 gene_0.5_1_0 216 69 104 37 138 33 190 10 115 106 54 132
gene_0.5_1_0_g2_0 gene_0.5_1_0 37 103 61 22 110 119 186 28 101 2 84 229
gene_0.5_1_0_g3_0 gene_0.5_1_0 417 75 387 206 295 170 318 202 345 259 374 238
gene_0.5_1_0_g4_0 gene_0.5_1_0 1067 575 1197 599 1109 576 1093 604 1190 555 1149 549
gene_0.5_2_0_g1_0 gene_0.5_2_0 308 152 108 25 186 247 231 186 192 100 169 33
gene_0.5_2_0_g2_0 gene_0.5_2_0 950 546 867 458 938 546 865 474 828 424 798 470
gene_0.5_2_0_g3_0 gene_0.5_2_0 51 15 139 39 98 0 223 52 89 29 68 4
gene_0.5_2_0_g4_0 gene_0.5_2_0 60 277 95 25 71 28 46 4 45 3 66 80
gene_0.5_3_0_g1_0 gene_0.5_3_0 113 19 34 15 371 74 144 70 195 78 106 135
gene_0.5_3_0_g2_0 gene_0.5_3_0 15 2 0 0 0 0 170 92 0 0 333 0
gene_0.5_3_0_g3_0 gene_0.5_3_0 32 72 7 113 21 3 136 43 15 4 2 43
gene_0.5_3_0_g4_0 gene_0.5_3_0 23 63 50 95 239 41 70 2 62 7 46 48
gene_0.5_4_0_g1_0 gene_0.5_4_0 0 0 99 2 32 19 0 0 0 0 1 0
gene_0.5_4_0_g2_0 gene_0.5_4_0 223 144 0 80 38 23 3 3 0 0 1 2
gene_0.5_4_0_g3_0 gene_0.5_4_0 27 3 0 0 72 36 0 0 140 38 0 0
gene_0.5_4_0_g4_0 gene_0.5_4_0 70 2 111 176 93 47 141 87 65 45 39 22
