sgrna inf_mu_perc count
gene_0.5_1_0_g1_0 -13.1974723341201 2
gene_0.5_1_0_g2_0 -13.1974723341201 2
gene_0.5_1_0_g3_0 -12.098860045452 7
gene_0.5_1_0_g4_0 -10.9567626448441 23
gene_0.5_2_0_g1_0 -12.609685669218 4
gene_0.5_2_0_g2_0 -11.19599233391 18
gene_0.5_2_0_g3_0 -13.7082979578861 1
gene_0.5_2_0_g4_0 -13.7082979578861 1
gene_0.5_3_0_g1_0 -12.8610000974989 3
gene_0.5_3_0_g2_0 -14.8069102465542 0
gene_0.5_3_0_g3_0 -13.7082979578861 1
gene_0.5_3_0_g4_0 -13.1974723341201 2
gene_0.5_4_0_g1_0 -14.8069102465542 0
gene_0.5_4_0_g2_0 -14.8069102465542 0
gene_0.5_4_0_g3_0 -14.8069102465542 0
gene_0.5_4_0_g4_0 -13.1974723341201 2
gene_0.5_5_0_g1_0 -10.6325229766586 32
gene_0.5_5_0_g2_0 -14.8069102465542 0
gene_0.5_5_0_g3_0 -14.8069102465542 0
gene_0.5_5_0_g4_0 -12.609685669218 4
gene_0.5_6_0_g1_0 -13.7082979578861 1
gene_0.5_6_0_g2_0 -13.1974723341201 2
gene_0.5_6_0_g3_0 -12.8610000974989 3
gene_0.5_6_0_g4_0 -12.609685669218 4
gene_0.5_7_0_g1_0 -12.4090149737558 5
gene_0.5_7_0_g2_0 -11.5110733805499 13
gene_0.5_7_0_g3_0 -13.7082979578861 1
gene_0.5_7_0_g4_0 -13.1974723341201 2
gene_0.5_8_0_g1_0 -11.0933381798499 20
gene_0.5_8_0_g2_0 -13.7082979578861 1
gene_0.5_8_0_g3_0 -13.7082979578861 1
gene_0.5_8_0_g4_0 -12.609685669218 4
gene_0.5_9_0_g1_0 -13.7082979578861 1
gene_0.5_9_0_g2_0 -14.8069102465542 0
gene_0.5_9_0_g3_0 -14.8069102465542 0
gene_0.5_9_0_g4_0 -12.8610000974989 3
gene_0.5_10_0_g1_0 -12.609685669218 4
gene_0.5_10_0_g2_0 -10.9150899484436 24
gene_0.5_10_0_g3_0 -13.7082979578861 1
gene_0.5_10_0_g4_0 -11.588034421686 12
gene_0.5_11_0_g1_0 -13.1974723341201 2
gene_0.5_11_0_g2_0 -13.7082979578861 1
gene_0.5_11_0_g3_0 -12.8610000974989 3
gene_0.5_11_0_g4_0 -14.8069102465542 0
gene_0.5_12_0_g1_0 -11.588034421686 12
gene_0.5_12_0_g2_0 -12.8610000974989 3
gene_0.5_12_0_g3_0 -14.8069102465542 0
gene_0.5_12_0_g4_0 -14.8069102465542 0
gene_0.5_13_0_g1_0 -14.8069102465542 0
gene_0.5_13_0_g2_0 -14.8069102465542 0
gene_0.5_13_0_g3_0 -10.4374623940872 39
gene_0.5_13_0_g4_0 -13.1974723341201 2
gene_0.5_14_0_g1_0 -12.8610000974989 3
gene_0.5_14_0_g2_0 -13.7082979578861 1
gene_0.5_14_0_g3_0 -11.4396144165677 14
gene_0.5_14_0_g4_0 -14.8069102465542 0
gene_0.5_15_0_g1_0 -14.8069102465542 0
gene_0.5_15_0_g2_0 -12.8610000974989 3
gene_0.5_15_0_g3_0 -11.5110733805499 13
gene_0.5_15_0_g4_0 -14.8069102465542 0
gene_0.5_16_0_g1_0 -14.8069102465542 0
gene_0.5_16_0_g2_0 -13.7082979578861 1
gene_0.5_16_0_g3_0 -14.8069102465542 0
gene_0.5_16_0_g4_0 -12.098860045452 7
gene_0.5_17_0_g1_0 -14.8069102465542 0
gene_0.5_17_0_g2_0 -12.8610000974989 3
gene_0.5_17_0_g3_0 -14.8069102465542 0
gene_0.5_17_0_g4_0 -12.8610000974989 3
gene_0.5_18_0_g1_0 -12.8610000974989 3
gene_0.5_18_0_g2_0 -13.1974723341201 2
gene_0.5_18_0_g3_0 -12.8610000974989 3
gene_0.5_18_0_g4_0 -13.1974723341201 2
gene_0.5_19_0_g1_0 -12.8610000974989 3
gene_0.5_19_0_g2_0 -13.7082979578861 1
gene_0.5_19_0_g3_0 -14.8069102465542 0
gene_0.5_19_0_g4_0 -13.1974723341201 2
gene_0.5_20_0_g1_0 -12.8610000974989 3
gene_0.5_20_0_g2_0 -11.973696902498 8
gene_0.5_20_0_g3_0 -14.8069102465542 0
gene_0.5_20_0_g4_0 -13.1974723341201 2
gene_0.4_1_0_g1_0 -12.8610000974989 3
gene_0.4_1_0_g2_0 -14.8069102465542 0
gene_0.4_1_0_g3_0 -14.8069102465542 0
gene_0.4_1_0_g4_0 -11.588034421686 12
gene_0.4_2_0_g1_0 -14.8069102465542 0
gene_0.4_2_0_g2_0 -14.8069102465542 0
gene_0.4_2_0_g3_0 -14.8069102465542 0
gene_0.4_2_0_g4_0 -13.7082979578861 1
gene_0.4_3_0_g1_0 -11.5110733805499 13
gene_0.4_3_0_g2_0 -14.8069102465542 0
gene_0.4_3_0_g3_0 -13.7082979578861 1
gene_0.4_3_0_g4_0 -12.609685669218 4
gene_0.4_4_0_g1_0 -12.8610000974989 3
gene_0.4_4_0_g2_0 -13.7082979578861 1
gene_0.4_4_0_g3_0 -14.8069102465542 0
gene_0.4_4_0_g4_0 -14.8069102465542 0
gene_0.4_5_0_g1_0 -10.3642589900639 42
gene_0.4_5_0_g2_0 -13.1974723341201 2
gene_0.4_5_0_g3_0 -13.7082979578861 1
gene_0.4_5_0_g4_0 -14.8069102465542 0
gene_0.4_6_0_g1_0 -12.2419608890927 6
gene_0.4_6_0_g2_0 -10.3410021278996 43
gene_0.4_6_0_g3_0 -11.19599233391 18
gene_0.4_6_0_g4_0 -13.7082979578861 1
gene_0.4_7_0_g1_0 -11.973696902498 8
gene_0.4_7_0_g2_0 -14.8069102465542 0
gene_0.4_7_0_g3_0 -14.8069102465542 0
gene_0.4_7_0_g4_0 -12.4090149737558 5
gene_0.4_8_0_g1_0 -14.8069102465542 0
gene_0.4_8_0_g2_0 -14.8069102465542 0
gene_0.4_8_0_g3_0 -11.4396144165677 14
gene_0.4_8_0_g4_0 -13.7082979578861 1
gene_0.4_9_0_g1_0 -13.7082979578861 1
gene_0.4_9_0_g2_0 -13.7082979578861 1
gene_0.4_9_0_g3_0 -12.8610000974989 3
gene_0.4_9_0_g4_0 -11.2515621850648 17
gene_0.4_10_0_g1_0 -12.8610000974989 3
gene_0.4_10_0_g2_0 -14.8069102465542 0
gene_0.4_10_0_g3_0 -14.8069102465542 0
gene_0.4_10_0_g4_0 -13.7082979578861 1
gene_0.4_11_0_g1_0 -12.8610000974989 3
gene_0.4_11_0_g2_0 -10.0277867534427 59
gene_0.4_11_0_g3_0 -12.8610000974989 3
gene_0.4_11_0_g4_0 -13.7082979578861 1
gene_0.4_12_0_g1_0 -12.4090149737558 5
gene_0.4_12_0_g2_0 -12.098860045452 7
gene_0.4_12_0_g3_0 -12.098860045452 7
gene_0.4_12_0_g4_0 -12.609685669218 4
gene_0.4_13_0_g1_0 -12.609685669218 4
gene_0.4_13_0_g2_0 -12.2419608890927 6
gene_0.4_13_0_g3_0 -12.609685669218 4
gene_0.4_13_0_g4_0 -13.7082979578861 1
gene_0.4_14_0_g1_0 -12.098860045452 7
gene_0.4_14_0_g2_0 -13.1974723341201 2
gene_0.4_14_0_g3_0 -12.8610000974989 3
gene_0.4_14_0_g4_0 -13.1974723341201 2
gene_0.4_15_0_g1_0 -14.8069102465542 0
gene_0.4_15_0_g2_0 -11.372923042069 15
gene_0.4_15_0_g3_0 -14.8069102465542 0
gene_0.4_15_0_g4_0 -12.098860045452 7
gene_0.4_16_0_g1_0 -12.8610000974989 3
gene_0.4_16_0_g2_0 -13.7082979578861 1
gene_0.4_16_0_g3_0 -13.7082979578861 1
gene_0.4_16_0_g4_0 -14.8069102465542 0
